START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/04/18,02:30 PM,03:30 PM,Premium Seating Day 3 Game 2,Minute Maid Park - Houston,"",03/04/18,03/04/18,05:30 PM,06:30 PM,FALSE,TRUE,03/04/18,01:30 PM,02:30 PM,FREE,BUSY
03/04/18,06:00 PM,07:00 PM,Premium Seating Day 3 Game 3,Minute Maid Park - Houston,"",03/04/18,03/04/18,09:00 PM,10:00 PM,FALSE,TRUE,03/04/18,05:00 PM,06:00 PM,FREE,BUSY
03/05/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/05/18,03/05/18,01:00 PM,02:00 PM,FALSE,TRUE,03/05/18,09:00 AM,10:00 AM,FREE,BUSY
03/05/18,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",03/05/18,03/05/18,03:05 PM,04:05 PM,FALSE,TRUE,03/05/18,11:05 AM,12:05 PM,FREE,BUSY
03/06/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/06/18,03/06/18,01:00 PM,02:00 PM,FALSE,TRUE,03/06/18,09:00 AM,10:00 AM,FREE,BUSY
03/06/18,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/06/18,03/06/18,03:05 PM,04:05 PM,FALSE,TRUE,03/06/18,11:05 AM,12:05 PM,FREE,BUSY
03/06/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local TV: MLBN",03/06/18,03/06/18,03:10 PM,04:10 PM,FALSE,TRUE,03/06/18,11:10 AM,12:10 PM,FREE,BUSY
03/07/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/07/18,03/07/18,01:00 PM,02:00 PM,FALSE,TRUE,03/07/18,09:00 AM,10:00 AM,FREE,BUSY
03/07/18,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/07/18,03/07/18,03:05 PM,04:05 PM,FALSE,TRUE,03/07/18,11:05 AM,12:05 PM,FREE,BUSY
03/08/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/08/18,03/08/18,01:00 PM,02:00 PM,FALSE,TRUE,03/08/18,09:00 AM,10:00 AM,FREE,BUSY
03/08/18,12:05 PM,01:05 PM,Astros at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: KBME 790 (delay)",03/08/18,03/08/18,03:05 PM,04:05 PM,FALSE,TRUE,03/08/18,11:05 AM,12:05 PM,FREE,BUSY
03/09/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/09/18,03/09/18,01:00 PM,02:00 PM,FALSE,TRUE,03/09/18,09:00 AM,10:00 AM,FREE,BUSY
03/09/18,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/09/18,03/09/18,08:05 PM,09:05 PM,FALSE,TRUE,03/09/18,04:05 PM,05:05 PM,FREE,BUSY
03/10/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/10/18,03/10/18,01:00 PM,02:00 PM,FALSE,TRUE,03/10/18,09:00 AM,10:00 AM,FREE,BUSY
03/10/18,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790",03/10/18,03/10/18,03:05 PM,04:05 PM,FALSE,TRUE,03/10/18,11:05 AM,12:05 PM,FREE,BUSY
03/11/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790",03/11/18,03/11/18,03:10 PM,04:10 PM,FALSE,TRUE,03/11/18,11:10 AM,12:10 PM,FREE,BUSY
03/12/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/12/18,03/12/18,01:00 PM,02:00 PM,FALSE,TRUE,03/12/18,09:00 AM,10:00 AM,FREE,BUSY
03/13/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/13/18,03/13/18,01:00 PM,02:00 PM,FALSE,TRUE,03/13/18,09:00 AM,10:00 AM,FREE,BUSY
03/13/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790 (delay)",03/13/18,03/13/18,03:10 PM,04:10 PM,FALSE,TRUE,03/13/18,11:10 AM,12:10 PM,FREE,BUSY
03/14/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/14/18,03/14/18,01:00 PM,02:00 PM,FALSE,TRUE,03/14/18,09:00 AM,10:00 AM,FREE,BUSY
03/14/18,12:05 PM,01:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/14/18,03/14/18,03:05 PM,04:05 PM,FALSE,TRUE,03/14/18,11:05 AM,12:05 PM,FREE,BUSY
03/15/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/15/18,03/15/18,01:00 PM,02:00 PM,FALSE,TRUE,03/15/18,09:00 AM,10:00 AM,FREE,BUSY
03/15/18,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/15/18,03/15/18,03:05 PM,04:05 PM,FALSE,TRUE,03/15/18,11:05 AM,12:05 PM,FREE,BUSY
03/16/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/16/18,03/16/18,01:00 PM,02:00 PM,FALSE,TRUE,03/16/18,09:00 AM,10:00 AM,FREE,BUSY
03/16/18,05:35 PM,06:35 PM,Astros at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: KBME 790",03/16/18,03/16/18,08:35 PM,09:35 PM,FALSE,TRUE,03/16/18,04:35 PM,05:35 PM,FREE,BUSY
