START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/10/18,01:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A ----- Local Radio: ESPN Phoenix 620",03/10/18,03/10/18,04:10 PM,06:10 PM,FALSE,TRUE,03/10/18,12:10 PM,02:10 PM,FREE,BUSY
03/11/18,01:05 PM,04:05 PM,D-backs at White Sox,Camelback Ranch - Glendale,"Local Radio: 98.7 FM Arizona's Sports Station",03/11/18,03/11/18,04:05 PM,07:05 PM,FALSE,TRUE,03/11/18,12:05 PM,03:05 PM,FREE,BUSY
03/12/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/12/18,03/12/18,12:30 PM,03:30 PM,FALSE,TRUE,03/12/18,08:30 AM,11:30 AM,FREE,BUSY
03/12/18,01:10 PM,04:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/12/18,03/12/18,04:10 PM,07:10 PM,FALSE,TRUE,03/12/18,12:10 PM,03:10 PM,FREE,BUSY
03/13/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/13/18,03/13/18,12:30 PM,03:30 PM,FALSE,TRUE,03/13/18,08:30 AM,11:30 AM,FREE,BUSY
03/14/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/14/18,03/14/18,12:30 PM,03:30 PM,FALSE,TRUE,03/14/18,08:30 AM,11:30 AM,FREE,BUSY
03/14/18,01:10 PM,04:10 PM,Reds at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A- MLBN ----- Local Radio: MLB.com",03/14/18,03/14/18,04:10 PM,07:10 PM,FALSE,TRUE,03/14/18,12:10 PM,03:10 PM,FREE,BUSY
03/15/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/15/18,03/15/18,12:30 PM,03:30 PM,FALSE,TRUE,03/15/18,08:30 AM,11:30 AM,FREE,BUSY
03/15/18,01:05 PM,04:05 PM,D-backs at Cubs,Sloan Park - Mesa,"Local Radio: MLB.com",03/15/18,03/15/18,04:05 PM,07:05 PM,FALSE,TRUE,03/15/18,12:05 PM,03:05 PM,FREE,BUSY
03/16/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/16/18,03/16/18,12:30 PM,03:30 PM,FALSE,TRUE,03/16/18,08:30 AM,11:30 AM,FREE,BUSY
03/16/18,01:10 PM,04:10 PM,Dodgers at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FS-A",03/16/18,03/16/18,04:10 PM,07:10 PM,FALSE,TRUE,03/16/18,12:10 PM,03:10 PM,FREE,BUSY
03/17/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/17/18,03/17/18,12:30 PM,03:30 PM,FALSE,TRUE,03/17/18,08:30 AM,11:30 AM,FREE,BUSY
03/17/18,01:10 PM,04:10 PM,Padres at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: 98.7 FM Arizona's Sports Station",03/17/18,03/17/18,04:10 PM,07:10 PM,FALSE,TRUE,03/17/18,12:10 PM,03:10 PM,FREE,BUSY
03/18/18,01:05 PM,04:05 PM,D-backs at Reds,Goodyear Ballpark - Goodyear,"Local TV: FS-A ----- Local Radio: 98.7 FM Arizona's Sports Station",03/18/18,03/18/18,04:05 PM,07:05 PM,FALSE,TRUE,03/18/18,12:05 PM,03:05 PM,FREE,BUSY
03/19/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/19/18,03/19/18,12:30 PM,03:30 PM,FALSE,TRUE,03/19/18,08:30 AM,11:30 AM,FREE,BUSY
03/19/18,01:10 PM,04:10 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: MLBN",03/19/18,03/19/18,04:10 PM,07:10 PM,FALSE,TRUE,03/19/18,12:10 PM,03:10 PM,FREE,BUSY
03/20/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/20/18,03/20/18,12:30 PM,03:30 PM,FALSE,TRUE,03/20/18,08:30 AM,11:30 AM,FREE,BUSY
03/20/18,01:10 PM,04:10 PM,D-backs at Angels,Tempe Diablo Stadium - Tempe,"Local TV: FS-A",03/20/18,03/20/18,04:10 PM,07:10 PM,FALSE,TRUE,03/20/18,12:10 PM,03:10 PM,FREE,BUSY
03/21/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/21/18,03/21/18,12:30 PM,03:30 PM,FALSE,TRUE,03/21/18,08:30 AM,11:30 AM,FREE,BUSY
03/21/18,06:40 PM,09:40 PM,Giants at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/21/18,03/22/18,09:40 PM,12:40 AM,FALSE,TRUE,03/21/18,05:40 PM,08:40 PM,FREE,BUSY
03/22/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/22/18,03/22/18,12:30 PM,03:30 PM,FALSE,TRUE,03/22/18,08:30 AM,11:30 AM,FREE,BUSY
03/22/18,06:40 PM,09:40 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/22/18,03/23/18,09:40 PM,12:40 AM,FALSE,TRUE,03/22/18,05:40 PM,08:40 PM,FREE,BUSY
03/23/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/23/18,03/23/18,12:30 PM,03:30 PM,FALSE,TRUE,03/23/18,08:30 AM,11:30 AM,FREE,BUSY
03/23/18,06:05 PM,09:05 PM,D-backs at Indians,Goodyear Ballpark - Goodyear,"",03/23/18,03/24/18,09:05 PM,12:05 AM,FALSE,TRUE,03/23/18,05:05 PM,08:05 PM,FREE,BUSY
03/24/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/24/18,03/24/18,12:30 PM,03:30 PM,FALSE,TRUE,03/24/18,08:30 AM,11:30 AM,FREE,BUSY
03/24/18,01:10 PM,04:10 PM,D-backs at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: ESPN Phoenix 620",03/24/18,03/24/18,04:10 PM,07:10 PM,FALSE,TRUE,03/24/18,12:10 PM,03:10 PM,FREE,BUSY
03/24/18,01:10 PM,04:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/24/18,03/24/18,04:10 PM,07:10 PM,FALSE,TRUE,03/24/18,12:10 PM,03:10 PM,FREE,BUSY
03/25/18,01:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: 98.7 FM Arizona's Sports Station",03/25/18,03/25/18,04:10 PM,07:10 PM,FALSE,TRUE,03/25/18,12:10 PM,03:10 PM,FREE,BUSY
03/26/18,09:30 AM,12:30 PM,Chase Field Tours,Chase Field - Phoenix,"",03/26/18,03/26/18,12:30 PM,03:30 PM,FALSE,TRUE,03/26/18,08:30 AM,11:30 AM,FREE,BUSY
03/26/18,06:40 PM,09:40 PM,Indians at D-backs,Chase Field - Phoenix,"",03/26/18,03/27/18,09:40 PM,12:40 AM,FALSE,TRUE,03/26/18,05:40 PM,08:40 PM,FREE,BUSY
