START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/18/18,06:10 PM,07:10 PM,White Sox at Indians,Progressive Field - Cleveland,"Local TV: NBCSCH+ ----- Local Radio: WGN 720",06/18/18,06/18/18,09:10 PM,10:10 PM,FALSE,TRUE,06/18/18,05:10 PM,06:10 PM,FREE,BUSY
06/19/18,06:10 PM,07:10 PM,White Sox at Indians,Progressive Field - Cleveland,"Local TV: WGN ----- Local Radio: WGN 720",06/19/18,06/19/18,09:10 PM,10:10 PM,FALSE,TRUE,06/19/18,05:10 PM,06:10 PM,FREE,BUSY
06/20/18,12:10 PM,01:10 PM,White Sox at Indians,Progressive Field - Cleveland,"Local TV: NBCSCH ----- Local Radio: WGN 720",06/20/18,06/20/18,03:10 PM,04:10 PM,FALSE,TRUE,06/20/18,11:10 AM,12:10 PM,FREE,BUSY
06/29/18,07:05 PM,08:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: WGN ----- Local Radio: WGN 720",06/29/18,06/29/18,10:05 PM,11:05 PM,FALSE,TRUE,06/29/18,06:05 PM,07:05 PM,FREE,BUSY
06/30/18,08:05 PM,09:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: NBCSCH ----- Local Radio: WGN 720",06/30/18,07/01/18,11:05 PM,12:05 AM,FALSE,TRUE,06/30/18,07:05 PM,08:05 PM,FREE,BUSY
07/01/18,02:05 PM,03:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/01/18,07/01/18,05:05 PM,06:05 PM,FALSE,TRUE,07/01/18,01:05 PM,02:05 PM,FREE,BUSY
07/02/18,06:10 PM,07:10 PM,White Sox at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/02/18,07/02/18,09:10 PM,10:10 PM,FALSE,TRUE,07/02/18,05:10 PM,06:10 PM,FREE,BUSY
07/03/18,06:10 PM,07:10 PM,White Sox at Reds,Great American Ball Park - Cincinnati,"Local TV: WGN ----- Local Radio: WGN 720",07/03/18,07/03/18,09:10 PM,10:10 PM,FALSE,TRUE,07/03/18,05:10 PM,06:10 PM,FREE,BUSY
07/04/18,06:10 PM,07:10 PM,White Sox at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/04/18,07/04/18,09:10 PM,10:10 PM,FALSE,TRUE,07/04/18,05:10 PM,06:10 PM,FREE,BUSY
07/05/18,07:10 PM,08:10 PM,White Sox at Astros,Minute Maid Park - Houston,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/05/18,07/05/18,10:10 PM,11:10 PM,FALSE,TRUE,07/05/18,06:10 PM,07:10 PM,FREE,BUSY
07/06/18,07:10 PM,08:10 PM,White Sox at Astros,Minute Maid Park - Houston,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/06/18,07/06/18,10:10 PM,11:10 PM,FALSE,TRUE,07/06/18,06:10 PM,07:10 PM,FREE,BUSY
07/07/18,03:10 PM,04:10 PM,White Sox at Astros,Minute Maid Park - Houston,"Local TV: WGN ----- Local Radio: WGN 720",07/07/18,07/07/18,06:10 PM,07:10 PM,FALSE,TRUE,07/07/18,02:10 PM,03:10 PM,FREE,BUSY
07/08/18,01:10 PM,02:10 PM,White Sox at Astros,Minute Maid Park - Houston,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/08/18,07/08/18,04:10 PM,05:10 PM,FALSE,TRUE,07/08/18,12:10 PM,01:10 PM,FREE,BUSY
07/17/18,,,NL All-Stars at AL All-Stars - Time TBD,Nationals Park - Washington,"",07/17/18,07/17/18,,,FALSE,TRUE,07/17/18,,,FREE,BUSY
07/20/18,09:10 PM,10:10 PM,White Sox at Mariners,Safeco Field - Seattle,"Local TV: WGN ----- Local Radio: WGN 720",07/21/18,07/21/18,12:10 AM,01:10 AM,FALSE,TRUE,07/20/18,08:10 PM,09:10 PM,FREE,BUSY
07/21/18,09:10 PM,10:10 PM,White Sox at Mariners,Safeco Field - Seattle,"Local TV: NBCSCH ----- Local Radio: WGN 720",07/22/18,07/22/18,12:10 AM,01:10 AM,FALSE,TRUE,07/21/18,08:10 PM,09:10 PM,FREE,BUSY
07/22/18,03:10 PM,04:10 PM,White Sox at Mariners,Safeco Field - Seattle,"Local TV: WGN ----- Local Radio: WGN 720",07/22/18,07/22/18,06:10 PM,07:10 PM,FALSE,TRUE,07/22/18,02:10 PM,03:10 PM,FREE,BUSY
07/23/18,09:07 PM,10:07 PM,White Sox at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: NBCSCH+ ----- Local Radio: WGN 720",07/24/18,07/24/18,12:07 AM,01:07 AM,FALSE,TRUE,07/23/18,08:07 PM,09:07 PM,FREE,BUSY
