START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,12:10 PM,03:10 PM,Dodgers at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN- MLB.com",02/25/18,02/25/18,03:10 PM,06:10 PM,FALSE,TRUE,02/25/18,11:10 AM,02:10 PM,FREE,BUSY
02/26/18,12:05 PM,03:05 PM,Mariners at Cubs,Sloan Park - Mesa,"Local Radio: 710 ESPN (delay)- MLB.com",02/26/18,02/26/18,03:05 PM,06:05 PM,FALSE,TRUE,02/26/18,11:05 AM,02:05 PM,FREE,BUSY
02/27/18,12:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/27/18,02/27/18,03:05 PM,06:05 PM,FALSE,TRUE,02/27/18,11:05 AM,02:05 PM,FREE,BUSY
02/27/18,12:10 PM,03:10 PM,Padres at Mariners,Peoria Stadium - Peoria,"Local Radio: 710 ESPN (delay)- MLB.com",02/27/18,02/27/18,03:10 PM,06:10 PM,FALSE,TRUE,02/27/18,11:10 AM,02:10 PM,FREE,BUSY
02/28/18,12:05 PM,03:05 PM,Mariners at Indians,Goodyear Ballpark - Goodyear,"Local Radio: 710 ESPN (delay)- MLB.com",02/28/18,02/28/18,03:05 PM,06:05 PM,FALSE,TRUE,02/28/18,11:05 AM,02:05 PM,FREE,BUSY
03/01/18,12:10 PM,03:10 PM,Royals at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN (delay)- MLB.com",03/01/18,03/01/18,03:10 PM,06:10 PM,FALSE,TRUE,03/01/18,11:10 AM,02:10 PM,FREE,BUSY
03/02/18,12:05 PM,03:05 PM,Mariners at Brewers,Maryvale Baseball Park - Phoenix,"Local Radio: 710 ESPN (delay)- MLB.com",03/02/18,03/02/18,03:05 PM,06:05 PM,FALSE,TRUE,03/02/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,05:40 PM,08:40 PM,Angels at Mariners,Peoria Stadium - Peoria,"Local TV: MLBN ----- Local Radio: 710 ESPN- MLB.com",03/03/18,03/03/18,08:40 PM,11:40 PM,FALSE,TRUE,03/03/18,04:40 PM,07:40 PM,FREE,BUSY
03/04/18,12:05 PM,03:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: 710 ESPN- MLB.com",03/04/18,03/04/18,03:05 PM,06:05 PM,FALSE,TRUE,03/04/18,11:05 AM,02:05 PM,FREE,BUSY
03/06/18,05:40 PM,08:40 PM,Rockies at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW- MLBN ----- Local Radio: 710 ESPN- MLB.com",03/06/18,03/06/18,08:40 PM,11:40 PM,FALSE,TRUE,03/06/18,04:40 PM,07:40 PM,FREE,BUSY
03/07/18,05:40 PM,08:40 PM,Athletics at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN- MLB.com",03/07/18,03/07/18,08:40 PM,11:40 PM,FALSE,TRUE,03/07/18,04:40 PM,07:40 PM,FREE,BUSY
