START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,"Local Radio: MLB.com",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local Radio: MLB.com",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/02/18,02:05 PM,03:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/02/18,03/02/18,05:05 PM,06:05 PM,FALSE,TRUE,03/02/18,01:05 PM,02:05 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: 105.3 The Fan",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/05/18,02:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/05/18,03/05/18,05:05 PM,06:05 PM,FALSE,TRUE,03/05/18,01:05 PM,02:05 PM,FREE,BUSY
03/06/18,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/06/18,03/06/18,05:05 PM,06:05 PM,FALSE,TRUE,03/06/18,01:05 PM,02:05 PM,FREE,BUSY
03/07/18,02:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/07/18,03/07/18,05:10 PM,06:10 PM,FALSE,TRUE,03/07/18,01:10 PM,02:10 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,07:05 PM,08:05 PM,Rangers at Reds,Goodyear Ballpark - Goodyear,"Local Radio: 105.3 The Fan",03/09/18,03/09/18,10:05 PM,11:05 PM,FALSE,TRUE,03/09/18,06:05 PM,07:05 PM,FREE,BUSY
03/10/18,02:05 PM,03:05 PM,Athletics at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/10/18,03/10/18,05:05 PM,06:05 PM,FALSE,TRUE,03/10/18,01:05 PM,02:05 PM,FREE,BUSY
03/11/18,03:10 PM,04:10 PM,Rangers at Angels,Tempe Diablo Stadium - Tempe,"Local TV: FSSW+ ----- Local Radio: 105.3 The Fan",03/11/18,03/11/18,06:10 PM,07:10 PM,FALSE,TRUE,03/11/18,02:10 PM,03:10 PM,FREE,BUSY
03/12/18,08:05 PM,09:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local TV: FSSW ----- Local Radio: 105.3 The Fan",03/12/18,03/13/18,11:05 PM,12:05 AM,FALSE,TRUE,03/12/18,07:05 PM,08:05 PM,FREE,BUSY
03/12/18,03:05 PM,04:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,"",03/12/18,03/12/18,06:05 PM,07:05 PM,FALSE,TRUE,03/12/18,02:05 PM,03:05 PM,FREE,BUSY
03/13/18,03:05 PM,04:05 PM,Rangers at Brewers,Maryvale Baseball Park - Phoenix,"Local TV: FSSW ----- Local Radio: MLB.com",03/13/18,03/13/18,06:05 PM,07:05 PM,FALSE,TRUE,03/13/18,02:05 PM,03:05 PM,FREE,BUSY
03/15/18,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/15/18,03/15/18,06:05 PM,07:05 PM,FALSE,TRUE,03/15/18,02:05 PM,03:05 PM,FREE,BUSY
03/16/18,03:05 PM,04:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/16/18,03/16/18,06:05 PM,07:05 PM,FALSE,TRUE,03/16/18,02:05 PM,03:05 PM,FREE,BUSY
