START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Athletics at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local Radio: WGN 720",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,White Sox at Reds,Goodyear Ballpark - Goodyear,"",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/02/18,02:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/02/18,03/02/18,05:05 PM,06:05 PM,FALSE,TRUE,03/02/18,01:05 PM,02:05 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,White Sox at Royals,Surprise Stadium - Surprise,"",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/05/18,02:05 PM,03:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"",03/05/18,03/05/18,05:05 PM,06:05 PM,FALSE,TRUE,03/05/18,01:05 PM,02:05 PM,FREE,BUSY
03/06/18,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/06/18,03/06/18,05:05 PM,06:05 PM,FALSE,TRUE,03/06/18,01:05 PM,02:05 PM,FREE,BUSY
03/07/18,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/07/18,03/07/18,05:05 PM,06:05 PM,FALSE,TRUE,03/07/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,02:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,"",03/09/18,03/09/18,05:10 PM,06:10 PM,FALSE,TRUE,03/09/18,01:10 PM,02:10 PM,FREE,BUSY
03/10/18,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local TV: WGN ----- Local Radio: WGN 720",03/10/18,03/10/18,05:05 PM,06:05 PM,FALSE,TRUE,03/10/18,01:05 PM,02:05 PM,FREE,BUSY
03/11/18,03:05 PM,04:05 PM,D-backs at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/11/18,03/11/18,06:05 PM,07:05 PM,FALSE,TRUE,03/11/18,02:05 PM,03:05 PM,FREE,BUSY
03/12/18,08:40 PM,09:40 PM,White Sox at Mariners,Peoria Stadium - Peoria,"Local Radio: WGN 720",03/12/18,03/13/18,11:40 PM,12:40 AM,FALSE,TRUE,03/12/18,07:40 PM,08:40 PM,FREE,BUSY
03/14/18,03:05 PM,04:05 PM,White Sox at Brewers,Maryvale Baseball Park - Phoenix,"",03/14/18,03/14/18,06:05 PM,07:05 PM,FALSE,TRUE,03/14/18,02:05 PM,03:05 PM,FREE,BUSY
03/15/18,08:10 PM,09:10 PM,White Sox at Angels,Tempe Diablo Stadium - Tempe,"",03/15/18,03/16/18,11:10 PM,12:10 AM,FALSE,TRUE,03/15/18,07:10 PM,08:10 PM,FREE,BUSY
03/16/18,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago- MLBN",03/16/18,03/16/18,06:05 PM,07:05 PM,FALSE,TRUE,03/16/18,02:05 PM,03:05 PM,FREE,BUSY
03/17/18,03:05 PM,04:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com- MLBN",03/17/18,03/17/18,06:05 PM,07:05 PM,FALSE,TRUE,03/17/18,02:05 PM,03:05 PM,FREE,BUSY
03/18/18,03:05 PM,04:05 PM,White Sox at Athletics,Hohokam Stadium - Mesa,"",03/18/18,03/18/18,06:05 PM,07:05 PM,FALSE,TRUE,03/18/18,02:05 PM,03:05 PM,FREE,BUSY
03/19/18,03:10 PM,04:10 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: NBC Sports Chicago- MLBN",03/19/18,03/19/18,06:10 PM,07:10 PM,FALSE,TRUE,03/19/18,02:10 PM,03:10 PM,FREE,BUSY
03/20/18,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago- MLBN",03/20/18,03/20/18,06:05 PM,07:05 PM,FALSE,TRUE,03/20/18,02:05 PM,03:05 PM,FREE,BUSY
03/21/18,03:05 PM,04:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago",03/21/18,03/21/18,06:05 PM,07:05 PM,FALSE,TRUE,03/21/18,02:05 PM,03:05 PM,FREE,BUSY
03/22/18,08:40 PM,09:40 PM,White Sox at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/22/18,03/23/18,11:40 PM,12:40 AM,FALSE,TRUE,03/22/18,07:40 PM,08:40 PM,FREE,BUSY
03/23/18,03:05 PM,04:05 PM,Mariners at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/23/18,03/23/18,06:05 PM,07:05 PM,FALSE,TRUE,03/23/18,02:05 PM,03:05 PM,FREE,BUSY
03/24/18,02:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"Local TV: MLB.com",03/24/18,03/24/18,05:05 PM,06:05 PM,FALSE,TRUE,03/24/18,01:05 PM,02:05 PM,FREE,BUSY
